flight_number,departure_airport,arrival_airport,departure_date,arrival_date,departure_time,arrival_time,airline,flight_duration,passenger_count,ticket_price,cabin_class,flight_status,aircraft_type,pilot_name,co_pilot_name
889,GNF,CQT,11/21/2022,11/1/2022,11:44 PM,4:10 PM,American,5.16,185,677.02,First,On Time,Boeing 737,Hadleigh Kynder,Olympe Lorrie
5746,MUR,ESF,7/18/2022,8/19/2022,1:28 PM,11:30 PM,Delta,8.04,37,203.73,First,Cancelled,Boeing 737,Malynda O'Criane,Rowen Trudgion
382,ATJ,YHU,12/19/2022,4/25/2022,11:15 AM,6:39 PM,American,2.53,256,553.78,Business,On Time,Boeing 787,Gay Brawson,Leandra Evamy
9605,DLE,BJJ,12/17/2022,1/22/2022,1:23 AM,7:57 PM,Delta,2.96,85,747.76,Business,Cancelled,Boeing 737,Alverta Grannell,Hamlen Dillingham
252,OCV,MNJ,5/4/2022,11/24/2022,3:00 AM,5:03 AM,American,9.09,477,361.4,Business,Delayed,Boeing 787,Adela Bridgett,Miguela Battram
2547,XAP,GKT,9/9/2022,8/29/2022,3:35 AM,7:06 PM,Delta,4.87,355,711.05,Economy,On Time,Boeing 787,Chip Impy,Georgi Metzel
9187,CRE,MPU,8/2/2022,9/16/2022,8:53 AM,4:33 AM,American,4.17,245,445.37,Economy,Cancelled,Boeing 787,Leola Benn,Ingaborg Quibell
5870,YJS,OSU,2/18/2022,3/23/2022,9:34 AM,10:54 PM,United,8.6,324,285.39,Economy,Cancelled,Airbus A320,Clayson Siemon,Jade Caen
8217,MYO,AND,9/30/2022,4/19/2022,5:32 AM,9:14 PM,United,2.99,155,611.82,Economy,On Time,Boeing 737,Evy Giacubbo,Katrina Walby
7170,PTU,CUP,3/30/2022,9/8/2022,4:46 PM,10:56 AM,United,3.77,46,929.47,Economy,On Time,Boeing 737,Alphard Covert,Irvine Falconer-Taylor
7343,VEX,HBA,12/2/2022,5/5/2022,1:53 AM,12:30 AM,United,8.51,251,597.54,Business,Delayed,Boeing 787,Marion Chatt,Darbee Bouda
6726,KRX,UCZ,12/13/2022,1/30/2022,4:09 PM,5:03 AM,United,5.35,122,790.94,Business,Cancelled,Boeing 737,Karna Rubinowicz,Leisha Pude
2985,AOI,BFM,7/20/2022,6/3/2022,8:00 PM,4:11 AM,Delta,3.03,153,512.36,Business,On Time,Boeing 737,Herman Ubach,Raoul Redman
3710,KKG,MCW,9/29/2022,2/26/2022,2:56 PM,2:21 PM,American,4.65,147,271.59,First,Delayed,Boeing 787,Balduin Wilds,Nathanael Langshaw
5311,CBN,VSG,7/29/2022,11/21/2022,12:43 AM,3:37 AM,United,8.06,1,637.35,First,On Time,Boeing 737,Chiarra Gypps,Nil Altham
7865,NGI,YOE,6/23/2022,6/21/2022,3:43 PM,4:45 AM,Delta,1.28,343,628.3,Business,Cancelled,Boeing 787,Hermia Boyer,Manny Sandlin
5919,CPG,GOG,12/13/2022,5/29/2022,11:33 PM,8:25 AM,American,1.02,382,719.26,First,Delayed,Boeing 737,Jeannie Winstone,Constance Lowman
3390,RJL,PKP,5/16/2022,8/7/2022,5:48 AM,4:54 PM,United,8.11,483,430.58,Economy,On Time,Boeing 787,Edith Rays,Samson Enrrico
9073,MNJ,LOC,11/21/2022,2/24/2022,3:56 PM,7:57 PM,United,2.93,289,843.63,Economy,On Time,Boeing 737,Nelia Blazdell,Nicolea Swanbourne
9926,FDK,RGE,9/17/2022,4/10/2022,7:50 AM,10:03 PM,American,1.79,348,580.3,First,On Time,Airbus A320,Darrel Collyer,Philippine Takis
2097,CCI,ATR,2/26/2022,11/13/2022,11:20 PM,3:46 PM,American,7.01,262,917.82,First,Delayed,Boeing 737,Dean Lauchlan,Louis Macconachy
6472,SSB,JGN,4/9/2022,7/13/2022,2:46 PM,12:07 PM,United,8.45,189,762.73,Economy,On Time,Boeing 737,Mycah Kennington,Imelda Hatchett
495,PRM,INS,8/27/2022,9/4/2022,9:15 PM,4:48 AM,United,7.32,188,883.1,Economy,Delayed,Boeing 787,Matty Sawnwy,Shurlocke Monsey
6053,EMX,DNI,10/22/2022,2/2/2022,12:01 AM,1:43 PM,American,5.2,331,495.39,Economy,On Time,Boeing 737,Lou Sigart,Vladimir Bolwell
849,HRC,REQ,5/28/2022,9/2/2022,4:16 PM,5:02 AM,Delta,7.5,218,539.52,First,On Time,Airbus A320,Brody Marre,Charmian Stollen
6930,VEV,IBI,10/12/2022,12/4/2022,8:20 PM,9:07 AM,United,9.15,180,543.4,First,Cancelled,Airbus A320,Welsh Iley,Katrine Moogan
7127,GHK,RBU,3/21/2022,12/9/2022,6:53 PM,4:01 PM,Delta,5.92,275,113.15,First,Cancelled,Boeing 787,Romy Janek,Elihu Bullier
2085,LHA,PAP,10/19/2022,4/22/2022,5:44 AM,4:40 PM,United,2.59,422,190.99,First,Cancelled,Boeing 737,Carmel Parade,Gennie Ticic
1704,0,TLW,9/23/2022,3/1/2022,10:06 AM,5:47 AM,American,5.45,65,815.9,Economy,Delayed,Airbus A320,Errick Sperrett,Nissa Thorburn
8358,TPI,FEK,10/23/2022,6/11/2022,7:10 AM,7:15 AM,United,7.6,212,161.54,Economy,On Time,Boeing 787,Shaun Fitzgerald,Roxane Bernaldo
1334,RLP,JST,7/18/2022,1/4/2022,10:32 PM,2:24 AM,American,1.69,336,387.61,Economy,On Time,Airbus A320,Ki Brownett,Meredith Brevetor
2409,AMU,SID,6/27/2022,3/20/2022,6:51 AM,7:57 PM,Delta,9.17,67,866.18,First,Cancelled,Airbus A320,Benedicta Gutsell,Juana McCusker
5029,EGA,MGB,8/3/2022,9/9/2022,6:09 AM,3:28 PM,United,5.89,37,908.64,Economy,On Time,Boeing 737,Pearline Larroway,Lesly Parkman
6328,PGA,YSD,5/18/2022,2/10/2022,5:46 PM,12:25 AM,Delta,9.64,61,732.86,First,Cancelled,Boeing 737,Elene Haughey,Shandee Deighan
7232,YKA,OUT,11/15/2022,5/30/2022,1:03 AM,10:24 PM,United,1.83,276,541.04,First,Cancelled,Boeing 787,Tommy Trunkfield,Lizzie Bedinn
4731,OLA,LUD,4/16/2022,11/20/2022,9:02 AM,7:29 AM,United,6.05,484,592.1,Business,Delayed,Boeing 787,Shaun Hischke,Hobard Threadgill
4902,BTX,GTS,11/15/2022,8/12/2022,5:46 PM,11:29 PM,United,7.4,286,913.82,Business,On Time,Airbus A320,Flory Somerfield,Brion Dewfall
2199,XJM,KUX,7/30/2022,9/14/2022,7:10 PM,11:21 AM,United,8.61,493,920.67,Business,Delayed,Airbus A320,Casi Kilshaw,Lettie Janout
597,TDG,BFS,12/17/2022,5/3/2022,5:00 PM,12:10 AM,United,6.65,459,782.04,First,Delayed,Airbus A320,Lexie Priddis,Petronia Cuerdall
8361,PWA,LKO,8/31/2022,2/22/2022,12:56 AM,8:29 AM,United,4.4,378,967.03,First,Cancelled,Boeing 737,Rhetta Huntriss,Mair Phelip
7681,SAX,YRL,3/18/2022,9/14/2022,9:12 PM,8:14 AM,American,2.02,361,88.89,First,On Time,Boeing 737,Tessie Bruinsma,Corrina Lemmer
2288,WVL,PSX,1/30/2022,5/29/2022,1:49 AM,1:36 PM,American,1.6,121,885.02,Business,Cancelled,Boeing 787,Rhona Starie,Lemmie Veazey
5942,BML,UKH,7/28/2022,9/27/2022,3:44 PM,4:14 PM,United,3.7,94,432.92,First,On Time,Boeing 737,Dee Osgar,Gualterio Edis
5499,ODR,GZA,2/28/2022,6/14/2022,1:13 AM,4:16 AM,American,1.66,79,108.29,Economy,Delayed,Airbus A320,Therine Roswarne,Stern Llewellin
3333,FOA,KCC,5/16/2022,11/20/2022,2:06 AM,8:45 PM,Delta,3.59,336,56.87,Business,On Time,Boeing 787,Raffarty Dineges,Humphrey Dearden
3086,KVA,OCA,4/24/2022,2/2/2022,5:49 AM,9:59 AM,United,6.8,383,400.27,Economy,Cancelled,Boeing 787,Roze Sporton,Giorgia Geane
4377,HTV,TQN,6/14/2022,2/22/2022,5:58 AM,6:26 AM,United,4.47,227,207.46,First,On Time,Boeing 787,Nickolas Daveridge,Vicki Bantham
214,YWG,PDA,10/7/2022,2/5/2022,3:37 PM,1:54 PM,American,7.16,355,934.19,Economy,On Time,Boeing 737,Lavinia Chaundy,Franni Greally
4258,THN,WJF,8/1/2022,11/15/2022,3:24 AM,4:44 AM,American,2.07,328,59.99,Economy,On Time,Boeing 737,Hope Giraudel,Delinda McQuarter
7583,MRZ,AOS,8/20/2022,1/30/2022,2:49 AM,9:38 AM,Delta,3.38,443,995.66,Business,Delayed,Boeing 787,Carly Hesbrook,Jillie Kissack
8992,TNK,DNA,2/4/2022,4/3/2022,4:23 PM,8:15 AM,United,1.88,462,61.7,Economy,Cancelled,Boeing 787,Corrinne Ugolotti,Rudolfo Risborough
2567,PDZ,UUA,5/13/2022,6/24/2022,9:46 PM,8:56 AM,United,4.52,48,447.01,Business,Delayed,Boeing 787,Kirsti Kellick,Faina Craney
2658,CIO,BJG,3/22/2022,10/2/2022,2:53 PM,1:26 PM,American,7.42,499,418.28,Economy,Delayed,Boeing 737,Catherine McMurty,Annis Levesley
3011,AUT,NRR,3/31/2022,1/3/2022,2:26 AM,2:19 PM,United,4.47,269,758.34,First,Delayed,Boeing 737,Burl Harte,Mark Schwier
4972,PSU,OIA,8/9/2022,5/31/2022,10:52 PM,7:17 PM,Delta,5.84,3,946.93,Business,Cancelled,Boeing 737,Roanna Manoelli,Orelee Cleaton
7861,CKR,ZSA,6/25/2022,8/9/2022,4:25 PM,8:41 AM,American,4.95,197,366.68,First,Cancelled,Boeing 737,Dara Prangle,Maxim Kingsnod
3054,KIK,ULD,4/1/2022,2/6/2022,5:16 AM,2:57 AM,Delta,1.03,291,735.35,Business,Cancelled,Airbus A320,Patsy Scarisbrick,Bell Ruggles
9383,OTU,TUR,7/25/2022,12/28/2022,1:20 AM,4:28 PM,United,4.21,130,384.92,First,On Time,Boeing 787,Weber Hencke,Kearney Boud
9850,LAO,IFF,11/10/2022,4/27/2022,4:53 PM,6:45 AM,American,4.38,101,204.54,Economy,Delayed,Airbus A320,Herbie Simmers,Prentice Ollive
6186,PTW,FNB,5/4/2022,11/14/2022,6:34 AM,4:33 PM,American,2.36,303,765.05,First,Delayed,Airbus A320,Giustino Faill,Bernardo Fippe
4562,JNB,TNQ,4/12/2022,3/12/2022,7:15 PM,3:15 AM,United,1.54,216,512.73,Economy,Delayed,Boeing 787,Mic Josifovic,Ker Harkes
297,NOK,DEX,9/4/2022,9/20/2022,12:31 AM,7:19 AM,Delta,5.42,263,581.66,Business,Delayed,Airbus A320,Renard Reddish,Peta Lamperti
7790,LMT,RIV,2/13/2022,12/16/2022,3:30 AM,2:39 PM,Delta,3.62,217,264.32,First,On Time,Boeing 787,Danni Drayson,Dav Sprowson
1817,CAM,PQQ,9/4/2022,12/24/2022,7:08 AM,2:13 AM,United,7.56,62,112.79,First,On Time,Boeing 737,Beale Lynch,Arlee Bernadzki
8784,TAJ,WMB,12/15/2022,10/9/2022,10:01 PM,7:53 AM,American,2.13,208,83.06,Business,Cancelled,Boeing 787,Bryna Graveney,Breena Lafranconi
9946,MDD,HZK,1/18/2022,4/7/2022,5:56 AM,3:36 AM,American,6.1,42,182.16,Economy,Cancelled,Airbus A320,Lynette Rosenschein,Nissy Deason
3549,BPG,SEY,7/20/2022,4/16/2022,1:54 AM,4:55 AM,Delta,7.4,203,505.52,Business,Cancelled,Boeing 787,Helene Giffkins,Rutter MacAscaidh
4085,MWE,CJM,10/3/2022,9/21/2022,7:40 PM,3:48 PM,United,3.05,409,912.85,Economy,On Time,Airbus A320,Cullan Behneke,Chantalle McIlvenny
1700,EUM,SYW,1/29/2022,5/10/2022,4:59 AM,4:21 AM,Delta,5.72,71,73.11,Business,Cancelled,Airbus A320,Barby Andrivel,Salomon Arnli
1111,YCF,ILP,8/26/2022,4/8/2022,6:13 PM,10:18 AM,Delta,1.12,165,716.04,Economy,On Time,Airbus A320,Alasteir Hencke,Yale Bosdet
658,MJU,GOA,9/4/2022,4/28/2022,11:38 AM,10:42 PM,American,8.85,433,224.76,First,Delayed,Boeing 737,Donnell Lawrinson,Ada Hinksen
7116,0,ZUH,8/11/2022,1/10/2022,5:34 PM,2:45 AM,Delta,8.15,155,392.86,First,Cancelled,Boeing 737,Shaylynn Lemary,Zara Battany
5688,MRM,APK,3/2/2022,3/28/2022,8:48 PM,3:33 AM,United,6.0,259,403.88,Business,Delayed,Boeing 737,Lise Grossier,Garvin Fetherstan
8638,HAA,AFI,5/12/2022,2/13/2022,3:33 PM,9:40 PM,American,2.57,343,262.02,Business,On Time,Airbus A320,Edie Biggar,Bing Wickenden
5448,JPR,PYC,8/27/2022,10/18/2022,6:44 PM,11:33 PM,United,7.1,248,631.06,Economy,Cancelled,Boeing 737,Corenda Kitson,Shel Sendley
2388,LET,HCM,12/28/2022,11/28/2022,4:39 PM,4:29 AM,United,8.57,244,88.43,Business,On Time,Boeing 737,Gabrielle Buddington,Jessa McKilroe
8141,SXP,PTN,1/13/2022,7/28/2022,1:38 PM,6:39 AM,Delta,6.94,202,992.64,First,Delayed,Boeing 787,Marianne Bebb,Della Simakov
1157,GFD,KWO,2/1/2022,3/1/2022,1:11 AM,3:20 PM,Delta,1.5,206,300.74,First,On Time,Boeing 737,Eadmund Boldra,Kittie Loveland
4354,CLK,BFE,4/20/2022,12/24/2022,7:37 AM,7:28 AM,United,9.65,117,156.37,Business,Cancelled,Boeing 787,Gavin Cunniff,Hiram Kerrod
2877,IZO,MEZ,3/23/2022,1/6/2022,8:23 AM,1:09 AM,American,9.27,137,227.06,Business,Cancelled,Airbus A320,Dyna Fippe,Tiphany Winscum
2651,YQD,RGT,1/19/2022,10/1/2022,3:01 AM,1:40 AM,Delta,7.74,36,898.02,Economy,Cancelled,Boeing 787,Valentin Mandifield,Rebekah Keri
6292,XDJ,BGW,3/12/2022,7/3/2022,1:14 AM,5:34 AM,Delta,7.9,215,928.67,Economy,Delayed,Boeing 787,Bianka Scala,Decca Kellogg
152,YMK,RGE,5/21/2022,11/7/2022,8:46 AM,12:53 PM,American,9.4,196,388.75,First,Delayed,Boeing 737,Alli McCallister,Vivie Lax
3947,SQE,HPA,11/14/2022,10/10/2022,12:42 AM,12:24 AM,United,4.53,306,584.94,First,On Time,Boeing 737,Shelley Michele,Franklyn Indruch
3185,TOL,SVW,6/24/2022,2/16/2022,5:30 PM,4:25 AM,American,5.86,40,655.55,Economy,On Time,Airbus A320,Hubey Bouda,Beret Gibben
4612,FMH,KKU,1/23/2022,1/31/2022,9:50 AM,2:32 AM,Delta,5.14,79,345.75,Business,Cancelled,Boeing 737,Aeriel Brunotti,Desiree Pennock
4942,KBL,PVC,8/13/2022,11/3/2022,6:55 AM,8:23 AM,United,5.02,441,922.3,Business,Cancelled,Boeing 787,Lawry Nail,Burch Riddock
6730,BJQ,VEY,8/17/2022,5/8/2022,11:25 AM,1:05 AM,American,9.62,326,163.3,Business,Delayed,Boeing 737,Husein Bartolomeu,Lionello Mulkerrins
1372,ALJ,GJL,4/18/2022,11/21/2022,3:49 AM,5:56 PM,American,6.57,34,430.17,Economy,Cancelled,Boeing 737,Billye Dally,Jeromy Blurton
3975,CNN,TFY,11/5/2022,8/7/2022,11:50 PM,10:54 AM,Delta,4.12,374,959.68,Business,Cancelled,Boeing 737,Rebekkah Pheasey,Hillary Wiggall
4900,RHG,PKK,11/14/2022,6/26/2022,9:18 AM,8:29 PM,Delta,7.57,474,427.39,Economy,Delayed,Boeing 737,Brantley Comar,Othilie Silverstone
1052,HLM,BFT,12/3/2022,1/25/2022,1:16 PM,12:28 PM,American,8.25,304,58.33,Business,Delayed,Boeing 787,Reiko Hilary,Dun Waterfall
3350,RCH,DYM,9/14/2022,3/20/2022,12:28 PM,7:29 PM,Delta,2.54,497,623.89,Economy,Delayed,Airbus A320,Shea Ternott,Lonnie Backe
6348,LTB,QOW,2/24/2022,8/17/2022,12:42 AM,1:35 PM,Delta,3.13,5,752.25,First,Cancelled,Airbus A320,Averil Portinari,Nicolina Wordington
7999,NSV,BRN,12/28/2022,1/30/2022,8:20 AM,2:28 AM,Delta,6.96,486,144.03,Economy,Cancelled,Boeing 737,Nara MacGregor,Lon Abbyss
9612,TNP,AGI,7/10/2022,10/26/2022,12:03 AM,10:55 PM,United,2.08,147,715.89,Business,Cancelled,Airbus A320,Currie Middlebrook,Kittie Deverille
4078,ISL,CDO,12/17/2022,4/18/2022,10:55 AM,8:55 AM,Delta,8.15,169,806.77,Economy,On Time,Boeing 787,Arlinda Wharram,Niki Tupie
6523,SBG,TVA,10/14/2022,5/15/2022,4:50 AM,8:01 AM,United,1.77,183,725.01,Business,On Time,Airbus A320,Hedi Matzaitis,Berkeley Andrzej
5799,JQE,TAK,4/15/2022,10/13/2022,10:39 AM,11:21 AM,Delta,9.35,417,70.81,First,Delayed,Boeing 787,Tabbitha Mattiacci,Mandel Lockner
6737,DNL,OUG,7/3/2022,3/6/2022,8:30 AM,9:08 PM,United,1.11,393,518.72,First,On Time,Boeing 737,Nanete Otto,Benjamen Pittle
5542,RHV,SYR,8/23/2022,12/14/2022,1:37 AM,1:06 AM,American,7.85,171,874.67,First,On Time,Airbus A320,Gabey Merrick,Gilda Danilevich
3380,YUL,REP,4/5/2022,1/7/2022,6:34 AM,4:11 AM,United,2.09,131,201.04,Economy,Delayed,Boeing 737,Carlina Manntschke,Gerek Standfield
9900,YAZ,PVZ,10/15/2022,4/11/2022,12:50 AM,9:12 PM,Delta,3.17,460,821.72,Business,Delayed,Boeing 737,Dagny Petrelli,Sile Rosin
4645,LGN,SGG,4/25/2022,5/22/2022,11:51 PM,4:27 PM,American,6.99,270,469.96,Business,Cancelled,Boeing 787,Bryant Butterfint,Meyer Puncher
9556,CTM,VIR,10/1/2022,1/30/2022,8:23 PM,5:07 AM,United,4.19,21,118.91,Business,On Time,Boeing 737,Joli Upstell,Gray Gready
8708,QID,TSF,6/6/2022,10/10/2022,12:22 AM,5:30 AM,Delta,4.63,467,435.45,First,Cancelled,Airbus A320,Megen Faircloth,Fidole Worge
4501,BVZ,ICO,1/27/2022,5/3/2022,2:22 AM,8:56 PM,United,6.61,346,980.63,Economy,Cancelled,Boeing 737,Perl Miklem,Piper Driver
296,FRZ,FRY,6/11/2022,3/3/2022,12:46 AM,6:56 PM,American,6.52,190,977.54,First,Delayed,Boeing 787,Sibel Lindberg,Hermon Olliar
9149,ETZ,OYL,2/20/2022,11/4/2022,2:42 PM,8:00 PM,American,5.28,322,966.0,Economy,Cancelled,Boeing 787,Florry Dimitriades,Natty Fuidge
4178,0,LKA,12/11/2022,4/3/2022,8:15 PM,5:09 AM,American,1.96,202,94.01,Business,Delayed,Boeing 787,Muffin Brosch,Emmy Moyne
9668,KLD,TJS,10/5/2022,7/9/2022,1:15 AM,10:02 PM,American,8.34,448,569.65,First,Cancelled,Airbus A320,Celinka Baford,Tracey Dumbrill
1961,YQV,MMZ,4/22/2022,3/3/2022,6:33 AM,2:50 PM,Delta,3.42,318,534.35,Economy,Delayed,Airbus A320,Dell Thomtson,Mahala Bontine
7412,LDI,CKG,1/2/2022,8/16/2022,1:03 AM,8:18 AM,Delta,7.06,186,340.71,Business,Delayed,Boeing 737,Gerhardine Bucher,Flossy Moore
3945,AIV,BRL,7/25/2022,5/2/2022,11:21 PM,12:56 AM,United,3.65,397,359.38,Economy,On Time,Boeing 737,Una Whacket,Waly Bollans
8810,VXC,WAV,12/3/2022,4/19/2022,4:26 AM,3:24 PM,Delta,7.48,296,922.83,Economy,On Time,Boeing 737,Pris Comfort,Sax Abbot
3044,KQH,BAC,8/5/2022,6/21/2022,10:54 AM,11:34 AM,American,2.53,89,758.34,Business,Delayed,Airbus A320,Glenden Camplejohn,Clarisse Simmank
2578,EUA,PFB,11/11/2022,11/2/2022,9:00 AM,1:10 PM,United,2.58,259,223.93,First,Cancelled,Airbus A320,Rudolfo Boraston,Fowler Franciskiewicz
7811,BCC,YXS,10/22/2022,10/6/2022,9:49 PM,7:57 PM,Delta,6.46,335,337.85,Business,On Time,Boeing 737,Natale Mayer,Porter Deboo
6405,PLT,LBI,6/19/2022,1/24/2022,5:00 AM,10:29 PM,American,3.51,255,169.91,First,Delayed,Boeing 737,Roi Blown,Norry Mandrey
8125,UTC,AGK,8/27/2022,7/22/2022,2:53 PM,11:16 AM,United,8.5,82,702.39,Economy,On Time,Boeing 787,Martin Booeln,Philippa Gainseford
4455,RSH,LBZ,5/10/2022,1/29/2022,1:36 PM,9:28 PM,Delta,1.94,162,966.32,First,Delayed,Boeing 787,Jesse Crummay,Ronny Bullivent
9779,HBD,SSX,4/24/2022,3/29/2022,4:36 AM,3:05 PM,Delta,5.89,386,435.34,Economy,Delayed,Boeing 737,Court Murdie,Emmalynn Hadaway
2729,LFR,UUU,11/19/2022,1/5/2022,5:36 PM,2:16 PM,United,2.2,59,395.84,Economy,Delayed,Boeing 737,Ashlee Garm,Greg Avraam
9904,PLS,QUO,12/17/2022,6/24/2022,1:56 PM,12:13 AM,United,6.15,90,475.01,Business,On Time,Boeing 737,Hans Sibbet,Bank McLeman
2209,BJL,HUY,6/10/2022,4/6/2022,3:00 AM,7:00 AM,Delta,6.46,112,919.24,First,On Time,Airbus A320,Thorsten de Vaen,Mort Meegin
6727,OXD,NLA,2/7/2022,11/3/2022,4:40 PM,10:01 AM,American,3.94,342,443.11,First,Cancelled,Boeing 737,Veronika Depport,Bernard Knatt
1824,TGM,PMW,2/6/2022,5/6/2022,4:57 AM,6:35 PM,United,5.0,226,310.56,Business,On Time,Airbus A320,Ted Fritchly,Shem Sweedland
5285,SCC,BYW,3/7/2022,6/19/2022,12:40 PM,2:29 PM,American,5.35,229,648.43,First,Delayed,Airbus A320,Mandie Gally,Bradney Beaford
2235,SAY,SNU,10/17/2022,7/12/2022,9:28 AM,4:02 PM,Delta,5.71,31,505.72,First,Cancelled,Boeing 737,Margalit Dabel,Jeffie Searl
4397,BPK,SAB,11/18/2022,6/7/2022,7:34 PM,5:23 PM,Delta,4.94,354,779.38,First,Delayed,Boeing 737,Brockie Eckly,Sally Rolin
8516,SUK,CFH,4/29/2022,8/26/2022,4:30 PM,5:02 PM,American,2.44,189,634.65,First,Cancelled,Boeing 787,Aileen Poulsum,Benson Jacklings
6939,YXE,SHU,10/17/2022,2/6/2022,3:50 AM,4:59 PM,Delta,2.09,85,310.17,Business,On Time,Airbus A320,Filippa Gomar,Rodge Adamides
597,TRM,BEA,7/10/2022,11/19/2022,7:06 AM,3:21 AM,United,2.02,30,362.08,Business,Delayed,Boeing 737,Kimberlee Knewstub,Ulrick Carek
9432,RIL,MJW,5/19/2022,5/22/2022,11:52 AM,11:10 AM,Delta,4.22,171,266.77,Business,On Time,Airbus A320,Hedvige Kelle,Russell Backwell
9486,KXK,MDT,12/8/2022,1/19/2022,6:44 PM,11:04 AM,United,9.39,453,616.81,Business,Cancelled,Boeing 737,Wildon Baudry,Grace Birtle
6527,RTC,TOC,5/28/2022,1/12/2022,10:32 AM,9:17 AM,Delta,1.96,315,569.8,Economy,Delayed,Boeing 737,Beck Schirach,Dallon McAster
5932,MVL,CVF,12/29/2022,7/13/2022,8:11 PM,11:21 PM,American,1.33,319,660.23,Business,Cancelled,Airbus A320,Barb Di Giacomo,Lucas Poker
2372,YPI,MHR,3/7/2022,6/16/2022,9:42 AM,9:29 AM,American,4.94,78,852.1,First,On Time,Airbus A320,Neal Amiss,Windy Coopey
426,OOL,LGR,7/9/2022,11/5/2022,9:24 AM,9:35 AM,Delta,3.44,138,100.1,Business,Cancelled,Boeing 737,Joletta Sudron,Jefferson Reignolds
3859,TAH,BR-,10/4/2022,6/29/2022,12:02 AM,7:44 PM,United,1.42,414,480.18,First,Delayed,Boeing 737,Karola McCorkindale,Addi Eddolls
6992,GUG,BEZ,4/27/2022,4/17/2022,2:14 PM,12:31 PM,United,1.85,165,169.97,Economy,On Time,Boeing 787,Shelly O'Dulchonta,Penny Turfitt
2430,MFJ,WSU,3/5/2022,2/13/2022,11:16 AM,8:36 AM,American,9.82,104,64.65,Business,Cancelled,Boeing 737,Regina Campelli,Jehanna Figure
5420,OXF,FOS,1/26/2022,6/27/2022,11:52 PM,1:02 PM,American,9.91,159,712.26,First,On Time,Boeing 737,Arvy Burkinshaw,Cherianne Seyfart
3221,BSV,GEC,1/2/2022,12/19/2022,5:07 AM,6:28 PM,American,2.77,395,814.0,Economy,Cancelled,Boeing 787,Orly Kemster,Luigi Warin
7827,PLV,CRS,1/7/2022,1/18/2022,1:11 PM,5:31 PM,American,2.65,115,585.6,Business,Delayed,Boeing 737,Abbie Griffitt,Hilton Stadden
6057,KLQ,BSY,3/21/2022,9/25/2022,12:48 AM,6:30 AM,American,1.63,496,593.28,First,Cancelled,Boeing 787,Nathalia Clayden,Merwin Croisier
6509,MYM,KLZ,10/8/2022,11/30/2022,10:12 PM,3:49 PM,American,9.13,47,458.98,First,Delayed,Boeing 787,Vincenty Dunn,Klemens Fearick
4357,IEG,BLG,10/9/2022,8/30/2022,7:28 AM,7:03 PM,United,8.81,320,443.93,First,Cancelled,Boeing 787,Catha Fitzjohn,Sergei Maddicks
552,BYK,KHZ,11/18/2022,2/22/2022,7:02 PM,10:11 AM,American,1.14,288,290.75,First,Delayed,Airbus A320,Amitie McGilvray,Kennith Aujouanet
5301,LDZ,NRS,10/8/2022,12/10/2022,11:26 PM,9:29 PM,American,7.03,385,52.55,First,On Time,Boeing 737,Tilly Abbotson,Eldon Powelee
4255,MOL,KQL,7/27/2022,3/1/2022,4:37 PM,5:29 AM,United,8.87,157,659.15,Business,Cancelled,Boeing 737,Letty Voden,Dorothea Guidini
8126,IXC,BKM,7/28/2022,2/15/2022,3:23 AM,3:03 PM,American,3.52,388,798.33,First,On Time,Airbus A320,Lukas Melchior,Iris Camerati
5492,ZLG,SOR,4/26/2022,4/10/2022,8:08 AM,12:33 PM,American,3.82,23,456.28,Economy,On Time,Boeing 737,Drugi Worge,Claudius Pendleton
2284,BCC,QOJ,12/28/2022,1/15/2022,6:35 AM,4:30 PM,United,7.84,499,641.66,Business,Delayed,Boeing 787,Raimundo Allgood,Clem Euels
2786,HVB,YIF,10/14/2022,3/30/2022,3:11 AM,2:06 AM,United,8.96,6,139.08,First,Delayed,Boeing 787,Cybill Hessel,Emelia Verlinden
1808,ILK,GEM,9/2/2022,2/9/2022,9:11 AM,3:56 PM,American,6.38,465,778.6,First,Cancelled,Boeing 787,Anestassia Hof,Trudie Sillars
5073,GTT,STX,2/25/2022,1/5/2022,1:17 PM,4:01 AM,United,9.01,334,225.26,First,Cancelled,Airbus A320,Vinnie Normington,Mikkel Fanshaw
1587,CTO,UNR,6/9/2022,11/11/2022,1:53 PM,7:30 PM,Delta,1.07,273,292.22,First,Delayed,Airbus A320,Sterne Gallardo,Umeko Gimber
8996,LJG,HCC,12/10/2022,7/26/2022,4:06 PM,1:06 AM,American,3.62,437,505.53,Business,Delayed,Airbus A320,Morgun Reyes,Gordan Sloey
8923,YXH,YNL,2/19/2022,1/4/2022,3:16 PM,3:34 AM,American,4.65,122,63.95,Business,Delayed,Boeing 787,Annemarie Van Driel,Judah Eborn
1617,AQB,STF,2/24/2022,1/30/2022,5:04 AM,3:20 AM,Delta,5.19,300,332.63,First,On Time,Airbus A320,Waverly Ivy,Georg Syddall
3750,WGY,VLG,5/31/2022,10/19/2022,4:46 PM,3:22 AM,United,2.62,380,824.02,First,Cancelled,Airbus A320,Terese Danko,Joice Plank
8846,SXL,DRI,5/26/2022,2/9/2022,12:25 AM,4:57 PM,American,5.48,427,89.45,First,Cancelled,Airbus A320,Taylor Seligson,Gibby Burds
